"","Gender","DriverAge","CarAge","Area","Leasing","Power","Fract","Contract","Exposure","ClaimFreq"
"65","2",30,9,"2","2","3","3","2",4.85,0.0526381478130152
"66","2",27,10,"2","2","2","1","1",4.22,0.0394854658772639
"67","1",34,4,"3","1","3","1","1",2.59,0.00707137365818733
"68","2",36,4,"2","1","3","1","2",4.73,0.0517531019037013
"69","1",62,4,"3","2","2","1","2",4.46,0.0414596106244649
"70","2",47,5,"1","2","3","3","3",2.46,0.00557368657370161
"71","2",50,3,"1","2","3","3","2",0.83,125579329567.792
"72","1",30,2,"3","1","1","3","2",2.6,0.00638866757029016
"73","1",39,3,"3","2","3","1","3",4.28,0.0416120689374798
"74","1",57,7,"3","1","1","3","1",2.62,0.0063997085227849
"75","1",34,3,"2","2","2","3","1",0.08,6.24895879222372
"76","1",18,7,"3","1","3","3","1",3.95,0.0365231701575687
"77","2",52,7,"1","2","2","1","2",5.12,0.0542970776837202
"78","1",61,10,"2","1","3","2","2",2.02,0.00135635034496706
"79","2",44,6,"1","1","2","3","2",0.51,1142.1985979264
"80","2",64,8,"2","1","4","3","2",5,0.0545002092580813
"81","1",49,1,"2","2","1","3","1",2.22,0.00261461401460978
"82","1",82,3,"1","2","2","3","2",3.56,0.0270779452038781
"83","1",51,2,"2","2","3","2","1",5.01,0.0563654183952828
"84","1",28,6,"3","2","4","2","1",2.79,0.00988107077766537
"85","1",49,2,"2","2","3","2","2",4.07,0.0371858966229985
"86","2",25,9,"4","2","1","2","2",3.49,0.0213492376481249
"87","1",62,4,"2","2","2","3","2",2.73,0.00972049606627719
"88","2",51,4,"1","2","3","1","3",4.35,0.0422660938706795
"89","1",41,3,"3","2","3","3","2",2.55,0.00636948328948782
"90","2",33,3,"1","2","2","2","1",3.22,0.017317347574836
"91","1",49,8,"3","2","3","1","1",3.71,0.0266884807893625
"92","2",32,5,"2","2","2","3","2",3.59,0.0263383770339511
"93","2",58,3,"2","1","3","3","3",3.56,0.0272739749273786
"94","1",59,4,"1","2","4","3","2",2.45,0.00495837213140938
"95","2",33,6,"3","2","2","3","2",3.71,0.0261347104567578
"96","1",33,2,"1","2","2","3","1",4.61,0.0449629171261014
"97","2",43,5,"1","2","3","3","1",7.17,0.0898244361192616
"98","1",32,0,"2","2","2","2","2",3.34,0.0221920183455192
"99","2",18,6,"2","2","2","1","3",1.77,0.000497278606753806
"100","1",38,6,"1","1","3","1","1",3.8,0.0300351866338471
"101","2",68,1,"1","1","3","3","2",6.26,0.0738499164018819
"102","1",59,7,"1","2","2","2","3",2.71,0.009405981198343
"103","1",39,2,"4","2","2","3","2",2.68,0.00835027515838275
"104","2",41,8,"3","2","2","3","1",4.04,0.0323927406740062
"105","2",47,3,"1","2","2","2","3",4.06,0.0358912712087272
"106","1",61,5,"3","2","3","3","3",0.08,6.39972548323877
"107","2",41,5,"4","1","4","1","2",1.02,6.11898523785245e-104
"108","1",18,8,"1","2","1","1","2",5.52,0.0681492202593747
"109","1",45,7,"1","1","1","3","1",3.46,0.0205977147757249
"110","1",52,3,"4","2","2","2","1",2.01,0.00113463223335755
"111","2",46,2,"3","2","3","3","3",3.73,0.0279214175364559
"112","1",38,6,"4","2","3","3","2",3.43,0.0220870517034871
"113","2",44,0,"3","2","2","3","3",3.78,0.0294342572594142
"114","2",37,5,"1","2","2","3","2",1.27,2.41112881869334e-09
"115","1",51,4,"4","1","2","3","1",3.99,0.0327236025069579
"116","1",30,10,"2","1","2","3","1",0.14,10.6059436503291
"117","2",43,4,"2","2","1","1","3",0.47,452.480440851843
"118","2",18,7,"3","2","2","3","1",4.03,0.0369149517632381
"119","1",58,9,"4","1","1","3","1",1.71,0.000121487939894516
"120","1",53,7,"2","2","4","1","2",2.58,0.00755466079601883
"121","2",18,6,"4","1","1","3","2",1.74,0.000238262188555557
"122","1",67,4,"1","2","2","2","2",1.76,0.000229414461159836
"123","2",39,4,"3","2","3","2","1",4.54,0.0431297427434312
"124","1",62,1,"1","1","4","2","2",5.55,0.0629305735189059
"125","2",55,8,"2","1","3","2","3",1.26,2.70866004396301e-09
"126","1",50,2,"1","2","2","2","2",3.63,0.0254838979675274
"127","2",43,5,"2","2","3","3","1",3.89,0.0326943362322788
"128","1",34,6,"2","2","2","3","2",4.39,0.0441228123352757
"129","2",50,4,"2","2","4","1","1",2.86,0.0118602014822297
"130","2",18,4,"3","2","3","2","2",4.51,0.048596584676437
"131","1",48,5,"3","2","3","3","3",3.53,0.0246600304362188
"132","1",51,2,"4","2","3","3","2",3.05,0.0142966054671689
"133","2",46,0,"2","2","4","3","2",3.1,0.0162359876123273
"134","2",58,5,"2","2","1","3","2",6.68,0.081397550800903
"135","2",26,0,"4","1","1","3","2",0.08,6.6854736580608
"136","2",38,5,"2","2","1","1","1",1.62,5.70483805609324e-05
"137","1",64,10,"1","2","2","3","1",0.08,6.67181359314946
"138","2",57,7,"2","2","3","1","2",0.08,6.31007735615988
"139","2",59,7,"2","2","3","1","3",2.96,0.0148410093880536
"140","1",43,4,"4","2","2","1","3",2.57,0.00766892013945841
"141","2",52,5,"3","2","1","3","1",3.82,0.0258274457186733
"142","2",25,3,"1","2","3","3","2",2.72,0.00885184096524797
"143","1",29,3,"4","2","3","2","2",2.05,0.00147018974426287
"144","2",44,4,"1","1","2","2","2",2.23,0.00277381397374792
"145","2",18,6,"2","2","3","3","2",0.85,756091653788.068
"146","2",64,7,"1","2","2","2","2",4.02,0.0323700966626591
"147","1",32,6,"1","2","2","3","1",0.08,6.50567761335587
"148","1",34,4,"2","1","3","3","3",5.17,0.0642797799477433
"149","1",37,6,"2","2","1","3","2",5.19,0.0577567169291247
"150","1",52,8,"1","2","1","3","2",2.89,0.0105005773288408
"151","1",38,8,"1","2","2","3","1",0.08,6.50385283507069
"152","1",58,2,"2","2","1","2","1",3.04,0.0141145694947114
"153","1",48,3,"2","1","3","3","2",2.45,0.00579611453078728
"154","1",37,4,"2","2","4","3","3",2.51,0.00729472120031943
"155","2",33,4,"4","2","2","1","1",2.78,0.00977813752269437
"156","2",51,3,"4","2","2","3","2",3.63,0.024815059910532
"157","2",22,4,"1","1","3","3","2",2.15,0.0021882676577987
"158","1",28,7,"2","2","1","3","3",1.33,9.44238664380202e-08
"159","2",34,4,"4","2","2","3","1",3.29,0.0184628453564136
"160","2",26,7,"2","2","1","3","2",3.92,0.031416947459236
"161","1",21,7,"3","2","4","3","3",2.39,0.00492363469339968
"162","1",22,4,"4","1","2","2","1",3.97,0.0342138572293928
"163","1",28,4,"2","2","2","2","1",3.7,0.0296535339487653
"164","1",54,3,"3","2","1","3","2",4.07,0.0313690334102673
"165","2",50,6,"3","2","1","1","2",2.61,0.0063163932151418
"166","2",28,5,"1","2","2","3","1",1.81,0.000331707788219584
"167","1",70,4,"2","1","4","1","2",1.67,0.00012177857285875
"168","2",57,5,"2","2","4","3","2",2.63,0.00788104058263252
"169","1",72,5,"4","2","2","3","2",2.14,0.00197273086348811
"170","2",44,3,"1","1","4","3","2",0.08,6.54518968128398
"171","2",49,5,"1","1","2","3","1",0.73,3777606.99348467
"172","2",50,12,"2","1","3","3","1",1.43,2.00995318317918e-06
"173","1",50,5,"1","2","2","1","3",2.47,0.00598599935903621
"174","1",48,8,"1","2","2","3","1",3.86,0.0296229404717906
"175","1",47,2,"1","2","2","1","2",2.45,0.00514415792701536
"176","2",39,4,"2","2","3","3","2",2.81,0.0112821558809678
"177","2",28,3,"3","2","3","3","1",6.25,0.0738779317573942
"178","2",38,7,"1","2","2","3","2",3.19,0.0166896265261045
"179","2",24,6,"1","1","2","1","2",3.61,0.0256630407778946
"180","1",82,5,"2","1","4","3","3",1.95,0.00140411832655189
"181","1",55,5,"2","2","2","3","1",4.87,0.0527351791458953
"182","1",29,3,"3","1","3","3","2",1.08,2.28870375956769e-27
"183","1",41,3,"2","2","2","3","3",1.38,7.90664371798171e-07
"184","2",67,6,"3","2","2","3","2",2.27,0.00280984801943759
"185","1",55,3,"4","2","2","3","3",2.27,0.00341111654366117
"186","1",61,1,"4","1","2","3","2",2.79,0.00977584661467541
"187","1",22,5,"4","1","1","3","2",2.19,0.00235131553660323
"188","1",60,3,"2","1","2","2","2",3.04,0.015631808940524
"189","1",48,5,"1","2","2","1","2",4.23,0.0381040087267706
"190","1",49,9,"3","2","2","3","2",1.68,0.00010081358032394
"191","2",47,3,"1","2","2","3","2",4.71,0.0461529996555567
"192","1",24,2,"1","2","2","2","1",2.26,0.00309655989251547
"193","2",44,4,"1","1","3","3","2",3.74,0.0276736575958053
"194","1",21,7,"3","2","2","1","2",3.22,0.0181459929571761
"195","2",21,3,"3","2","4","3","3",4.24,0.0398178589128729
"196","1",30,7,"1","2","2","2","2",1.84,0.000446171522949261
"197","2",18,2,"1","2","4","1","2",3.38,0.0239470746533629
"198","1",47,0,"3","2","2","2","2",3.96,0.0319683837565959
"199","2",38,9,"2","2","2","3","1",1.93,0.000832022062059785
"200","1",52,7,"1","2","2","2","1",2.27,0.00306857115933496
"201","1",58,5,"1","2","4","2","3",2.05,0.00153926242828125
"202","1",41,5,"4","2","1","3","2",0.82,30557069598.7757
"203","1",36,10,"4","2","2","2","2",3.24,0.0180377405882512
"204","2",61,3,"1","1","3","3","2",1.91,0.000633367693785983
"205","1",44,2,"1","2","2","1","1",3.2,0.0172755828796538
"206","2",48,6,"1","1","1","2","2",3.14,0.0147950311258556
"207","1",68,3,"1","2","2","3","2",4.68,0.0458270758907451
"208","2",68,5,"2","1","2","3","1",3.34,0.0205274551741562
"209","1",34,0,"2","1","3","1","1",4.03,0.0374882151719375
"210","1",57,3,"4","2","1","1","2",3.71,0.0255990570446484
"211","2",68,5,"2","1","2","3","3",4.1,0.038694522309393
"212","1",35,0,"2","1","3","2","3",4.25,0.0451155314766361
"213","2",46,9,"2","2","2","1","2",1.98,0.0011050742418723
"214","2",34,8,"2","2","4","3","3",1.55,2.95290272188523e-05
"215","1",68,8,"4","2","3","3","1",1.74,0.00018466273965007
"216","1",44,6,"2","2","2","2","2",1.82,0.000458619959290883
"217","1",53,5,"2","2","2","3","3",2.58,0.00815176770589128
"218","2",45,6,"2","1","3","1","2",3.35,0.0219312861397094
"219","1",29,3,"3","1","3","3","3",6.43,0.0828782135081603
"220","2",33,6,"4","1","2","3","1",3.04,0.014032884976078
"221","1",52,2,"1","2","2","1","2",2.37,0.00414945692862395
"222","2",27,6,"3","1","3","3","2",2.86,0.0109136642248781
"223","1",31,4,"2","2","1","2","2",4.87,0.0519199980165952
"224","1",35,8,"4","1","1","1","2",4.66,0.0452257960422476
"225","1",48,4,"2","1","1","1","1",4.75,0.0491611054998676
"226","1",43,6,"3","2","3","3","2",3.69,0.0266310820127342
"227","1",51,9,"2","2","1","2","2",4.08,0.035011247963658
"228","2",50,3,"3","2","1","1","2",5.88,0.0643957025888138
"229","1",50,2,"3","1","3","3","2",1.42,1.28267237830295e-06
"230","2",32,5,"3","1","4","3","1",4.27,0.0371300298747672
"231","1",40,8,"3","2","1","3","3",1.39,5.54404863494646e-07
"232","1",50,6,"2","2","1","3","1",1.71,0.000147335998769946
"233","1",49,2,"1","2","3","3","3",1.49,8.56293508725665e-06
"234","1",44,9,"1","2","2","3","2",6.33,0.0770057059233667
"235","1",41,5,"4","2","1","1","2",5.02,0.0520814461429893
"236","2",20,2,"1","2","1","3","2",2.55,0.00590004161327184
"237","1",55,6,"3","1","4","3","2",4.53,0.0425830088516206
"238","1",37,5,"2","2","2","1","1",3.04,0.0159841448961076
"239","1",55,5,"3","1","1","2","3",2.98,0.012984411994976
"240","1",65,10,"1","2","2","3","1",2.03,0.00114743990197578
"241","2",43,3,"2","2","4","2","2",4.26,0.0409821639013018
"242","2",18,0,"2","2","3","1","1",4.07,0.0427258350555985
"243","2",53,9,"3","2","4","2","3",3.43,0.0218220633800486
"244","1",41,5,"2","1","2","3","3",3.87,0.0356366305440194
"245","2",23,8,"1","2","3","1","3",1.81,0.000431020998097109
"246","1",18,8,"1","2","3","2","1",2.49,0.00710011556612963
"247","1",42,5,"1","2","3","3","2",1.8,0.000334497160447261
"248","1",43,1,"1","2","4","3","2",1.56,2.41027484091373e-05
"249","2",34,5,"3","1","3","2","2",2.13,0.00189935824063261
"250","1",46,5,"3","1","3","3","1",1.42,1.29554680480344e-06
"251","1",26,6,"1","2","2","1","1",3.76,0.0288484424600411
"252","1",43,8,"1","1","2","3","1",3.63,0.0257519502713229
"253","2",39,2,"2","2","2","2","1",1.65,9.34597408761861e-05
"254","1",34,0,"1","2","3","3","1",5.53,0.0635345172905612
"255","2",64,6,"3","2","2","2","2",3.25,0.017083036453798
"256","1",61,7,"2","2","3","3","2",2.3,0.00375903207131358
"257","1",42,5,"1","2","2","3","1",1.21,1.73306032164253e-11
"258","1",59,4,"1","2","2","2","3",2.5,0.00627535557658935
"259","1",40,1,"2","2","2","1","2",3.78,0.0314814639637613
"260","1",34,4,"1","1","4","3","1",1.22,4.92502064745631e-11
"261","1",33,8,"3","1","2","1","2",3.24,0.0180974196316288
"262","1",60,4,"4","1","3","3","1",2.1,0.00168081790249824
"263","2",30,8,"3","2","2","3","2",2.78,0.00930009524374879
"264","2",36,6,"3","2","2","3","1",6.5,0.0774961876176754
"265","2",34,3,"3","1","2","3","2",2.7,0.00825444325109102
"266","1",34,10,"1","2","2","3","3",3.49,0.024072326851448
"267","2",27,5,"3","1","2","2","3",1.9,0.000713634891277043
"268","2",26,6,"3","2","2","3","3",2.15,0.00220799291706614
"269","2",54,3,"3","2","3","1","3",1.67,0.000107046597492308
"270","2",40,6,"3","2","2","3","2",5.99,0.0695617021431774
"271","2",44,8,"3","2","3","2","1",3.96,0.0311813614917811
"272","1",54,3,"4","1","2","2","2",1.94,0.000817451365918897
"273","1",45,8,"3","2","3","1","2",3.55,0.0238334741365377
"274","1",31,7,"3","2","2","1","2",2.85,0.0109510058166548
"275","1",54,8,"3","2","3","1","1",3.49,0.0221785912111753
"276","1",45,4,"3","1","3","3","1",2.21,0.00250323423117119
"277","2",44,8,"2","2","2","3","2",2.46,0.00565807118574196
"278","1",40,7,"3","2","2","3","1",3.81,0.0285567989312599
"279","1",35,6,"1","1","2","3","1",2.37,0.00423509822834652
"280","2",58,8,"3","2","2","3","3",0.6,10472.2430925194
"281","1",43,0,"4","2","1","1","2",2.25,0.00281789661153636
"282","1",58,8,"1","2","2","3","2",1.99,0.000997377454414622
"283","1",32,5,"1","2","2","3","2",1.31,2.5818469614225e-08
"284","1",72,5,"3","2","3","1","2",1.95,0.000826525699010217
"285","2",65,6,"2","2","3","1","1",2.06,0.00157185007153343
"286","1",48,0,"3","2","2","3","3",2.55,0.0068053231911654
"287","1",31,2,"1","1","4","3","1",4.76,0.0481731645348876
"288","1",65,7,"1","2","3","3","2",3.38,0.0202066111723531
"289","2",37,3,"4","2","2","2","2",1.6,4.34589443645635e-05
"290","1",36,4,"1","2","1","3","1",1.74,0.000169008951751945
"291","2",47,4,"3","1","3","3","2",0.08,6.61897058347336
"292","2",52,6,"3","2","1","3","3",1.55,1.73896458518575e-05
"293","2",25,5,"4","2","4","3","1",5.26,0.0572649722203989
"294","2",47,5,"3","1","1","2","3",0.58,6255.91365458404
"295","1",41,2,"2","2","2","3","3",2.21,0.00328005335805438
"296","2",51,7,"3","1","2","1","1",2.33,0.00352011274407888
"297","1",63,5,"3","2","2","3","3",5.03,0.0546143649978259
"298","1",57,6,"1","2","3","3","3",2.82,0.0112194390251044
"299","1",50,7,"4","2","3","2","1",3.31,0.0193234891401408
"300","2",18,4,"1","2","4","3","2",5.03,0.0595491927362719
"301","2",58,6,"2","1","4","1","2",0.95,2.27133500728039e+39
"302","1",51,9,"4","2","1","3","1",4.48,0.0396934155128681
"303","2",41,2,"4","2","3","3","1",3.25,0.0177340551374075
"304","1",53,6,"3","2","2","2","1",2.31,0.00336356362386875
"305","1",54,6,"1","2","1","1","3",0.87,527044311810639
"306","1",58,6,"1","2","1","3","2",0.39,169.646542760276
"307","2",46,9,"2","2","2","3","3",5.01,0.0580238012388042
"308","1",18,5,"2","1","2","2","2",4.22,0.0473779096953921
"309","1",18,9,"1","1","2","3","3",3.51,0.0292952925926797
"310","2",23,4,"3","2","3","2","2",2.61,0.00736155143035492
"311","1",29,6,"1","2","2","3","2",5.1,0.0554324702133322
"312","2",25,2,"2","1","3","3","1",0.83,64835601670.4293
"313","1",63,9,"2","2","1","1","1",3.28,0.0185647383635988
"314","1",21,5,"4","1","3","1","3",2.68,0.00996647117986002
"315","1",24,6,"2","1","3","2","1",3.01,0.01567938360835
"316","1",38,6,"2","2","2","3","3",3.05,0.0172853898923359
"317","1",41,8,"2","2","3","3","1",3.81,0.0316081628255005
"318","1",23,4,"2","2","2","2","1",3.93,0.0354483846152354
"319","1",63,2,"4","1","3","1","3",2.5,0.00638678421257868
"320","1",22,6,"3","2","2","2","2",4.74,0.0491243842479272
"321","1",21,0,"1","2","1","2","2",0.58,5987.93518812922
"322","1",39,8,"1","2","3","3","3",4.74,0.0512480709741926
"323","1",38,7,"2","1","1","1","2",1.37,3.67757345105928e-07
"324","1",40,7,"1","1","2","3","3",3.04,0.0157152833923782
"325","1",27,1,"1","2","2","1","1",3.73,0.0279977439092628
"326","1",44,5,"3","2","3","2","3",4.97,0.0554391310680147
"327","1",45,4,"3","1","2","1","2",4.88,0.0508127777999695
"328","1",60,8,"2","2","2","3","1",2.8,0.0107108512584756
"329","1",37,6,"3","2","2","3","3",3.52,0.024761742569381
"330","2",33,6,"1","2","2","1","1",1.42,1.35726977435737e-06
"331","1",61,6,"2","2","2","3","2",0.1,7.54736843987625
"332","1",43,2,"1","2","2","3","2",3.62,0.0254284557508391
"333","1",69,2,"2","2","2","3","2",3.58,0.0257476342073306
"334","1",71,3,"2","2","2","3","2",3.28,0.0198697569656152
"335","1",64,8,"2","2","2","2","3",2.52,0.00723500419029565
"336","1",18,3,"3","1","3","2","2",4.53,0.0504264682413294
"337","1",44,1,"4","2","3","3","2",0.79,497576283.027142
"338","1",31,9,"2","2","3","3","2",3.96,0.0348737666427563
"339","1",47,5,"3","2","3","1","2",3.77,0.0282811519278516
"340","1",64,1,"2","1","3","1","1",3.78,0.0306822711107729
"341","1",46,2,"2","2","1","3","2",3.97,0.0323971439045845
"342","2",33,0,"1","1","4","3","2",1.88,0.000553585716136922
"343","2",34,7,"3","1","2","3","3",2.67,0.00849632244544312
"344","2",53,2,"3","2","2","3","2",3.67,0.0246190957089405
"345","1",42,3,"2","1","1","2","2",3.71,0.0284784716711229
"346","2",64,4,"3","1","2","3","3",1.7,0.000138379772909969
"347","1",23,6,"1","2","3","3","1",3.34,0.0205908631833221
"348","1",30,4,"2","1","3","1","2",2.72,0.0103674741707414
"349","2",46,1,"2","2","1","3","2",4.57,0.0435976650635926
"350","1",41,4,"1","1","2","3","1",3.77,0.0287414554856111
"351","2",45,8,"4","1","3","3","1",3.05,0.0140736025646478
"352","1",43,6,"1","2","1","1","2",4.37,0.0392813458451157
"353","2",47,8,"3","2","3","3","1",1.63,5.369293072868e-05
"354","1",19,6,"2","1","1","3","1",2.47,0.00592102936382444
"355","2",32,4,"1","1","3","1","1",3.98,0.0329020803672168
"356","1",49,4,"2","1","1","2","1",4.6,0.0459672344530905
"357","1",55,6,"2","2","2","2","2",0.23,23.3333134482786
"358","1",67,6,"3","1","2","3","2",4.61,0.0440345124833109
"359","2",43,6,"1","2","1","2","1",0.36,112.130127624818
"360","1",48,8,"3","2","2","3","1",3.7,0.025865554751841
"361","2",60,0,"2","1","3","1","1",2.51,0.00642510474468493
"362","1",51,1,"4","1","3","2","3",3.02,0.0152932590406408
"363","1",72,7,"4","1","3","3","2",0.57,4458.39053981214
"364","1",64,0,"2","2","2","3","3",1.17,2.42326819714744e-13
"365","1",19,6,"2","2","2","3","2",5.3,0.0651395816879348
"366","2",41,3,"1","2","2","3","2",2.31,0.00346251986690633
"367","2",50,7,"1","2","2","3","2",2.6,0.00676151967222117
"368","2",60,2,"1","2","2","3","1",1.67,8.48062114424442e-05
"369","1",38,8,"4","1","4","3","2",3.33,0.0200243721096852
"370","1",54,4,"2","2","4","3","2",0.68,171886.281336088
"371","2",32,0,"1","1","3","2","3",2.22,0.00305852533335653
"372","1",40,3,"1","2","2","2","1",5.95,0.0714678178972133
"373","2",30,2,"1","2","4","3","2",4.32,0.0385633850563441
"374","1",34,0,"1","2","2","1","1",1.06,9.66359457174389e-36
"375","1",37,6,"1","1","4","1","3",4.8,0.0534655117810228
"376","1",43,3,"1","2","2","2","3",6.44,0.084200257767415
"377","1",33,3,"3","2","3","2","3",5.33,0.0626782163409059
"378","1",20,7,"1","1","3","1","1",5.09,0.0573776637632882
"379","1",36,6,"3","1","4","3","2",3.61,0.0249809520050296
"380","2",38,5,"2","1","4","2","1",0.08,6.24647471058686
"381","1",58,6,"1","1","2","1","2",2.34,0.00390862418040174
"382","2",37,3,"2","1","4","1","3",2.03,0.00167790528825987
"383","1",32,2,"1","2","2","3","1",3.8,0.0286992080675908
"384","2",46,6,"1","2","2","2","3",3.98,0.0342279155692756
"385","2",70,6,"4","1","3","3","1",0.43,285.840912597095
"386","1",57,6,"1","2","4","1","3",4.85,0.0528184950014312
"387","1",63,0,"3","1","2","3","1",4,0.0319169506781787
"388","2",50,2,"1","1","2","3","3",2.66,0.00835360242009574
"389","2",35,8,"1","2","3","2","2",5.44,0.0613769599810202
"390","1",18,4,"3","1","2","2","2",2.79,0.0122164355749172
"391","1",18,1,"2","2","2","3","2",4.43,0.0508776190384072
"392","2",44,4,"1","2","3","1","3",3.86,0.0323472959307923
"393","1",41,7,"1","2","2","2","3",4.2,0.0401899411457035
"394","1",53,7,"2","1","2","2","2",1.08,8.56496858311378e-27
"395","1",46,6,"3","2","3","2","3",2.87,0.012139255088542
"396","1",66,1,"3","2","2","3","2",3.74,0.0263880296294688
"397","2",49,2,"2","2","2","3","2",1.17,1.15118603807298e-13
"398","1",49,5,"4","2","3","2","3",3.34,0.0217083915200914
"399","2",56,6,"4","2","3","3","2",1.33,5.49972361350092e-08
"400","2",62,6,"4","2","3","2","1",2.05,0.0013063336279981
"401","1",57,2,"2","2","3","3","2",4.88,0.0531691245369914
"402","2",41,5,"2","2","2","3","3",3.9,0.0351728310570017
"403","1",54,11,"3","2","1","3","1",2.1,0.0013500269828634
"404","1",50,7,"2","2","4","2","1",3.21,0.018714803490133
"405","2",33,4,"1","2","4","2","2",4.89,0.0506353303139161
"406","2",57,5,"2","1","2","2","2",3.83,0.0313746837158829
"407","1",54,0,"4","1","3","1","2",1.14,2.84325703995994e-16
"408","1",41,0,"1","1","3","1","2",4.72,0.0496047752555708
"409","2",43,8,"1","1","3","2","3",5.64,0.0690047460237635
"410","2",18,1,"1","2","3","2","3",1.22,1.88676450600904e-10
"411","1",47,4,"4","1","2","3","1",3.08,0.0149475018407613
"412","1",39,2,"1","1","2","3","2",2.63,0.00766709074850701
"413","2",37,5,"2","1","1","3","1",0.08,6.49358250091174
"414","2",32,5,"4","2","2","3","2",6.07,0.0720257325606274
"415","2",39,8,"3","2","3","3","3",1.85,0.000494578345202897
"416","1",48,7,"2","1","3","1","1",5.24,0.0619249852008363
"417","1",49,8,"3","2","3","2","3",0.19,16.5267531371901
"418","1",55,8,"1","2","2","3","3",2.99,0.0141051450416778
"419","1",49,7,"4","1","2","3","1",1.64,6.96491810259181e-05
"420","2",50,8,"2","1","4","3","2",5.63,0.0671970553798265
