"","Gender","DriverAge","CarAge","Area","Leasing","Power","Fract","Contract","Exposure"
"58",2,54,7,3,2,3,1,2,2.24
"59",1,70,4,2,2,3,3,2,2.09
"60",2,76,2,1,1,2,2,1,4.58
"61",2,65,5,2,2,1,1,2,2.04
"62",2,36,6,2,2,2,1,1,4.09
"63",2,73,5,1,2,2,3,2,2.28
"64",1,18,6,2,2,3,3,3,0.92
"65",2,30,9,2,2,3,3,2,4.85
"66",2,27,10,2,2,2,1,1,4.22
"67",1,34,4,3,1,3,1,1,2.59
"68",2,36,4,2,1,3,1,2,4.73
"69",1,62,4,3,2,2,1,2,4.46
"70",2,47,5,1,2,3,3,3,2.46
"71",2,50,3,1,2,3,3,2,0.83
"72",1,30,2,3,1,1,3,2,2.6
"73",1,39,3,3,2,3,1,3,4.28
"74",1,57,7,3,1,1,3,1,2.62
"75",1,34,3,2,2,2,3,1,0.08
"76",1,18,7,3,1,3,3,1,3.95
"77",2,52,7,1,2,2,1,2,5.12
"78",1,61,10,2,1,3,2,2,2.02
"79",2,44,6,1,1,2,3,2,0.51
"80",2,64,8,2,1,4,3,2,5
"81",1,49,1,2,2,1,3,1,2.22
"82",1,82,3,1,2,2,3,2,3.56
"83",1,51,2,2,2,3,2,1,5.01
"84",1,28,6,3,2,4,2,1,2.79
"85",1,49,2,2,2,3,2,2,4.07
"86",2,25,9,4,2,1,2,2,3.49
"87",1,62,4,2,2,2,3,2,2.73
"88",2,51,4,1,2,3,1,3,4.35
"89",1,41,3,3,2,3,3,2,2.55
"90",2,33,3,1,2,2,2,1,3.22
"91",1,49,8,3,2,3,1,1,3.71
"92",2,32,5,2,2,2,3,2,3.59
"93",2,58,3,2,1,3,3,3,3.56
"94",1,59,4,1,2,4,3,2,2.45
"95",2,33,6,3,2,2,3,2,3.71
"96",1,33,2,1,2,2,3,1,4.61
"97",2,43,5,1,2,3,3,1,7.17
"98",1,32,0,2,2,2,2,2,3.34
"99",2,18,6,2,2,2,1,3,1.77
"100",1,38,6,1,1,3,1,1,3.8
"101",2,68,1,1,1,3,3,2,6.26
"102",1,59,7,1,2,2,2,3,2.71
"103",1,39,2,4,2,2,3,2,2.68
"104",2,41,8,3,2,2,3,1,4.04
"105",2,47,3,1,2,2,2,3,4.06
"106",1,61,5,3,2,3,3,3,0.08
"107",2,41,5,4,1,4,1,2,1.02
"108",1,18,8,1,2,1,1,2,5.52
"109",1,45,7,1,1,1,3,1,3.46
"110",1,52,3,4,2,2,2,1,2.01
"111",2,46,2,3,2,3,3,3,3.73
"112",1,38,6,4,2,3,3,2,3.43
"113",2,44,0,3,2,2,3,3,3.78
"114",2,37,5,1,2,2,3,2,1.27
"115",1,51,4,4,1,2,3,1,3.99
"116",1,30,10,2,1,2,3,1,0.14
"117",2,43,4,2,2,1,1,3,0.47
"118",2,18,7,3,2,2,3,1,4.03
"119",1,58,9,4,1,1,3,1,1.71
"120",1,53,7,2,2,4,1,2,2.58
"121",2,18,6,4,1,1,3,2,1.74
"122",1,67,4,1,2,2,2,2,1.76
"123",2,39,4,3,2,3,2,1,4.54
"124",1,62,1,1,1,4,2,2,5.55
"125",2,55,8,2,1,3,2,3,1.26
"126",1,50,2,1,2,2,2,2,3.63
"127",2,43,5,2,2,3,3,1,3.89
"128",1,34,6,2,2,2,3,2,4.39
"129",2,50,4,2,2,4,1,1,2.86
"130",2,18,4,3,2,3,2,2,4.51
"131",1,48,5,3,2,3,3,3,3.53
"132",1,51,2,4,2,3,3,2,3.05
"133",2,46,0,2,2,4,3,2,3.1
"134",2,58,5,2,2,1,3,2,6.68
"135",2,26,0,4,1,1,3,2,0.08
"136",2,38,5,2,2,1,1,1,1.62
"137",1,64,10,1,2,2,3,1,0.08
"138",2,57,7,2,2,3,1,2,0.08
"139",2,59,7,2,2,3,1,3,2.96
"140",1,43,4,4,2,2,1,3,2.57
"141",2,52,5,3,2,1,3,1,3.82
"142",2,25,3,1,2,3,3,2,2.72
"143",1,29,3,4,2,3,2,2,2.05
"144",2,44,4,1,1,2,2,2,2.23
"145",2,18,6,2,2,3,3,2,0.85
"146",2,64,7,1,2,2,2,2,4.02
"147",1,32,6,1,2,2,3,1,0.08
"148",1,34,4,2,1,3,3,3,5.17
"149",1,37,6,2,2,1,3,2,5.19
"150",1,52,8,1,2,1,3,2,2.89
"151",1,38,8,1,2,2,3,1,0.08
"152",1,58,2,2,2,1,2,1,3.04
"153",1,48,3,2,1,3,3,2,2.45
"154",1,37,4,2,2,4,3,3,2.51
"155",2,33,4,4,2,2,1,1,2.78
"156",2,51,3,4,2,2,3,2,3.63
"157",2,22,4,1,1,3,3,2,2.15
"158",1,28,7,2,2,1,3,3,1.33
"159",2,34,4,4,2,2,3,1,3.29
"160",2,26,7,2,2,1,3,2,3.92
"161",1,21,7,3,2,4,3,3,2.39
"162",1,22,4,4,1,2,2,1,3.97
"163",1,28,4,2,2,2,2,1,3.7
"164",1,54,3,3,2,1,3,2,4.07
"165",2,50,6,3,2,1,1,2,2.61
"166",2,28,5,1,2,2,3,1,1.81
"167",1,70,4,2,1,4,1,2,1.67
"168",2,57,5,2,2,4,3,2,2.63
"169",1,72,5,4,2,2,3,2,2.14
"170",2,44,3,1,1,4,3,2,0.08
"171",2,49,5,1,1,2,3,1,0.73
"172",2,50,12,2,1,3,3,1,1.43
"173",1,50,5,1,2,2,1,3,2.47
"174",1,48,8,1,2,2,3,1,3.86
"175",1,47,2,1,2,2,1,2,2.45
"176",2,39,4,2,2,3,3,2,2.81
"177",2,28,3,3,2,3,3,1,6.25
"178",2,38,7,1,2,2,3,2,3.19
"179",2,24,6,1,1,2,1,2,3.61
"180",1,82,5,2,1,4,3,3,1.95
"181",1,55,5,2,2,2,3,1,4.87
"182",1,29,3,3,1,3,3,2,1.08
"183",1,41,3,2,2,2,3,3,1.38
"184",2,67,6,3,2,2,3,2,2.27
"185",1,55,3,4,2,2,3,3,2.27
"186",1,61,1,4,1,2,3,2,2.79
"187",1,22,5,4,1,1,3,2,2.19
"188",1,60,3,2,1,2,2,2,3.04
"189",1,48,5,1,2,2,1,2,4.23
"190",1,49,9,3,2,2,3,2,1.68
"191",2,47,3,1,2,2,3,2,4.71
"192",1,24,2,1,2,2,2,1,2.26
"193",2,44,4,1,1,3,3,2,3.74
"194",1,21,7,3,2,2,1,2,3.22
"195",2,21,3,3,2,4,3,3,4.24
"196",1,30,7,1,2,2,2,2,1.84
"197",2,18,2,1,2,4,1,2,3.38
"198",1,47,0,3,2,2,2,2,3.96
"199",2,38,9,2,2,2,3,1,1.93
"200",1,52,7,1,2,2,2,1,2.27
"201",1,58,5,1,2,4,2,3,2.05
"202",1,41,5,4,2,1,3,2,0.82
"203",1,36,10,4,2,2,2,2,3.24
"204",2,61,3,1,1,3,3,2,1.91
"205",1,44,2,1,2,2,1,1,3.2
"206",2,48,6,1,1,1,2,2,3.14
"207",1,68,3,1,2,2,3,2,4.68
"208",2,68,5,2,1,2,3,1,3.34
"209",1,34,0,2,1,3,1,1,4.03
"210",1,57,3,4,2,1,1,2,3.71
"211",2,68,5,2,1,2,3,3,4.1
"212",1,35,0,2,1,3,2,3,4.25
"213",2,46,9,2,2,2,1,2,1.98
"214",2,34,8,2,2,4,3,3,1.55
"215",1,68,8,4,2,3,3,1,1.74
"216",1,44,6,2,2,2,2,2,1.82
"217",1,53,5,2,2,2,3,3,2.58
"218",2,45,6,2,1,3,1,2,3.35
"219",1,29,3,3,1,3,3,3,6.43
"220",2,33,6,4,1,2,3,1,3.04
"221",1,52,2,1,2,2,1,2,2.37
"222",2,27,6,3,1,3,3,2,2.86
"223",1,31,4,2,2,1,2,2,4.87
"224",1,35,8,4,1,1,1,2,4.66
"225",1,48,4,2,1,1,1,1,4.75
"226",1,43,6,3,2,3,3,2,3.69
"227",1,51,9,2,2,1,2,2,4.08
"228",2,50,3,3,2,1,1,2,5.88
"229",1,50,2,3,1,3,3,2,1.42
"230",2,32,5,3,1,4,3,1,4.27
"231",1,40,8,3,2,1,3,3,1.39
"232",1,50,6,2,2,1,3,1,1.71
"233",1,49,2,1,2,3,3,3,1.49
"234",1,44,9,1,2,2,3,2,6.33
"235",1,41,5,4,2,1,1,2,5.02
"236",2,20,2,1,2,1,3,2,2.55
"237",1,55,6,3,1,4,3,2,4.53
"238",1,37,5,2,2,2,1,1,3.04
"239",1,55,5,3,1,1,2,3,2.98
"240",1,65,10,1,2,2,3,1,2.03
"241",2,43,3,2,2,4,2,2,4.26
"242",2,18,0,2,2,3,1,1,4.07
"243",2,53,9,3,2,4,2,3,3.43
"244",1,41,5,2,1,2,3,3,3.87
"245",2,23,8,1,2,3,1,3,1.81
"246",1,18,8,1,2,3,2,1,2.49
"247",1,42,5,1,2,3,3,2,1.8
"248",1,43,1,1,2,4,3,2,1.56
"249",2,34,5,3,1,3,2,2,2.13
"250",1,46,5,3,1,3,3,1,1.42
"251",1,26,6,1,2,2,1,1,3.76
"252",1,43,8,1,1,2,3,1,3.63
"253",2,39,2,2,2,2,2,1,1.65
"254",1,34,0,1,2,3,3,1,5.53
"255",2,64,6,3,2,2,2,2,3.25
"256",1,61,7,2,2,3,3,2,2.3
"257",1,42,5,1,2,2,3,1,1.21
"258",1,59,4,1,2,2,2,3,2.5
"259",1,40,1,2,2,2,1,2,3.78
"260",1,34,4,1,1,4,3,1,1.22
"261",1,33,8,3,1,2,1,2,3.24
"262",1,60,4,4,1,3,3,1,2.1
"263",2,30,8,3,2,2,3,2,2.78
"264",2,36,6,3,2,2,3,1,6.5
"265",2,34,3,3,1,2,3,2,2.7
"266",1,34,10,1,2,2,3,3,3.49
"267",2,27,5,3,1,2,2,3,1.9
"268",2,26,6,3,2,2,3,3,2.15
"269",2,54,3,3,2,3,1,3,1.67
"270",2,40,6,3,2,2,3,2,5.99
"271",2,44,8,3,2,3,2,1,3.96
"272",1,54,3,4,1,2,2,2,1.94
"273",1,45,8,3,2,3,1,2,3.55
"274",1,31,7,3,2,2,1,2,2.85
"275",1,54,8,3,2,3,1,1,3.49
"276",1,45,4,3,1,3,3,1,2.21
"277",2,44,8,2,2,2,3,2,2.46
"278",1,40,7,3,2,2,3,1,3.81
"279",1,35,6,1,1,2,3,1,2.37
"280",2,58,8,3,2,2,3,3,0.6
"281",1,43,0,4,2,1,1,2,2.25
"282",1,58,8,1,2,2,3,2,1.99
"283",1,32,5,1,2,2,3,2,1.31
"284",1,72,5,3,2,3,1,2,1.95
"285",2,65,6,2,2,3,1,1,2.06
"286",1,48,0,3,2,2,3,3,2.55
"287",1,31,2,1,1,4,3,1,4.76
"288",1,65,7,1,2,3,3,2,3.38
"289",2,37,3,4,2,2,2,2,1.6
"290",1,36,4,1,2,1,3,1,1.74
"291",2,47,4,3,1,3,3,2,0.08
"292",2,52,6,3,2,1,3,3,1.55
"293",2,25,5,4,2,4,3,1,5.26
"294",2,47,5,3,1,1,2,3,0.58
"295",1,41,2,2,2,2,3,3,2.21
"296",2,51,7,3,1,2,1,1,2.33
"297",1,63,5,3,2,2,3,3,5.03
"298",1,57,6,1,2,3,3,3,2.82
"299",1,50,7,4,2,3,2,1,3.31
"300",2,18,4,1,2,4,3,2,5.03
"301",2,58,6,2,1,4,1,2,0.95
"302",1,51,9,4,2,1,3,1,4.48
"303",2,41,2,4,2,3,3,1,3.25
"304",1,53,6,3,2,2,2,1,2.31
"305",1,54,6,1,2,1,1,3,0.87
"306",1,58,6,1,2,1,3,2,0.39
"307",2,46,9,2,2,2,3,3,5.01
"308",1,18,5,2,1,2,2,2,4.22
"309",1,18,9,1,1,2,3,3,3.51
"310",2,23,4,3,2,3,2,2,2.61
"311",1,29,6,1,2,2,3,2,5.1
"312",2,25,2,2,1,3,3,1,0.83
"313",1,63,9,2,2,1,1,1,3.28
"314",1,21,5,4,1,3,1,3,2.68
"315",1,24,6,2,1,3,2,1,3.01
"316",1,38,6,2,2,2,3,3,3.05
"317",1,41,8,2,2,3,3,1,3.81
"318",1,23,4,2,2,2,2,1,3.93
"319",1,63,2,4,1,3,1,3,2.5
"320",1,22,6,3,2,2,2,2,4.74
"321",1,21,0,1,2,1,2,2,0.58
"322",1,39,8,1,2,3,3,3,4.74
"323",1,38,7,2,1,1,1,2,1.37
"324",1,40,7,1,1,2,3,3,3.04
"325",1,27,1,1,2,2,1,1,3.73
"326",1,44,5,3,2,3,2,3,4.97
"327",1,45,4,3,1,2,1,2,4.88
"328",1,60,8,2,2,2,3,1,2.8
"329",1,37,6,3,2,2,3,3,3.52
"330",2,33,6,1,2,2,1,1,1.42
"331",1,61,6,2,2,2,3,2,0.1
"332",1,43,2,1,2,2,3,2,3.62
"333",1,69,2,2,2,2,3,2,3.58
"334",1,71,3,2,2,2,3,2,3.28
"335",1,64,8,2,2,2,2,3,2.52
"336",1,18,3,3,1,3,2,2,4.53
"337",1,44,1,4,2,3,3,2,0.79
"338",1,31,9,2,2,3,3,2,3.96
"339",1,47,5,3,2,3,1,2,3.77
"340",1,64,1,2,1,3,1,1,3.78
"341",1,46,2,2,2,1,3,2,3.97
"342",2,33,0,1,1,4,3,2,1.88
"343",2,34,7,3,1,2,3,3,2.67
"344",2,53,2,3,2,2,3,2,3.67
"345",1,42,3,2,1,1,2,2,3.71
"346",2,64,4,3,1,2,3,3,1.7
"347",1,23,6,1,2,3,3,1,3.34
"348",1,30,4,2,1,3,1,2,2.72
"349",2,46,1,2,2,1,3,2,4.57
"350",1,41,4,1,1,2,3,1,3.77
"351",2,45,8,4,1,3,3,1,3.05
"352",1,43,6,1,2,1,1,2,4.37
"353",2,47,8,3,2,3,3,1,1.63
"354",1,19,6,2,1,1,3,1,2.47
"355",2,32,4,1,1,3,1,1,3.98
"356",1,49,4,2,1,1,2,1,4.6
"357",1,55,6,2,2,2,2,2,0.23
"358",1,67,6,3,1,2,3,2,4.61
"359",2,43,6,1,2,1,2,1,0.36
"360",1,48,8,3,2,2,3,1,3.7
"361",2,60,0,2,1,3,1,1,2.51
"362",1,51,1,4,1,3,2,3,3.02
"363",1,72,7,4,1,3,3,2,0.57
"364",1,64,0,2,2,2,3,3,1.17
"365",1,19,6,2,2,2,3,2,5.3
"366",2,41,3,1,2,2,3,2,2.31
"367",2,50,7,1,2,2,3,2,2.6
"368",2,60,2,1,2,2,3,1,1.67
"369",1,38,8,4,1,4,3,2,3.33
"370",1,54,4,2,2,4,3,2,0.68
"371",2,32,0,1,1,3,2,3,2.22
"372",1,40,3,1,2,2,2,1,5.95
"373",2,30,2,1,2,4,3,2,4.32
"374",1,34,0,1,2,2,1,1,1.06
"375",1,37,6,1,1,4,1,3,4.8
"376",1,43,3,1,2,2,2,3,6.44
"377",1,33,3,3,2,3,2,3,5.33
"378",1,20,7,1,1,3,1,1,5.09
"379",1,36,6,3,1,4,3,2,3.61
"380",2,38,5,2,1,4,2,1,0.08
"381",1,58,6,1,1,2,1,2,2.34
"382",2,37,3,2,1,4,1,3,2.03
"383",1,32,2,1,2,2,3,1,3.8
"384",2,46,6,1,2,2,2,3,3.98
"385",2,70,6,4,1,3,3,1,0.43
"386",1,57,6,1,2,4,1,3,4.85
"387",1,63,0,3,1,2,3,1,4
"388",2,50,2,1,1,2,3,3,2.66
"389",2,35,8,1,2,3,2,2,5.44
"390",1,18,4,3,1,2,2,2,2.79
"391",1,18,1,2,2,2,3,2,4.43
"392",2,44,4,1,2,3,1,3,3.86
"393",1,41,7,1,2,2,2,3,4.2
"394",1,53,7,2,1,2,2,2,1.08
"395",1,46,6,3,2,3,2,3,2.87
"396",1,66,1,3,2,2,3,2,3.74
"397",2,49,2,2,2,2,3,2,1.17
"398",1,49,5,4,2,3,2,3,3.34
"399",2,56,6,4,2,3,3,2,1.33
"400",2,62,6,4,2,3,2,1,2.05
"401",1,57,2,2,2,3,3,2,4.88
"402",2,41,5,2,2,2,3,3,3.9
"403",1,54,11,3,2,1,3,1,2.1
"404",1,50,7,2,2,4,2,1,3.21
"405",2,33,4,1,2,4,2,2,4.89
"406",2,57,5,2,1,2,2,2,3.83
"407",1,54,0,4,1,3,1,2,1.14
"408",1,41,0,1,1,3,1,2,4.72
"409",2,43,8,1,1,3,2,3,5.64
"410",2,18,1,1,2,3,2,3,1.22
"411",1,47,4,4,1,2,3,1,3.08
"412",1,39,2,1,1,2,3,2,2.63
"413",2,37,5,2,1,1,3,1,0.08
"414",2,32,5,4,2,2,3,2,6.07
"415",2,39,8,3,2,3,3,3,1.85
"416",1,48,7,2,1,3,1,1,5.24
"417",1,49,8,3,2,3,2,3,0.19
"418",1,55,8,1,2,2,3,3,2.99
"419",1,49,7,4,1,2,3,1,1.64
"420",2,50,8,2,1,4,3,2,5.63
"421",2,18,6,3,1,1,3,2,3.66
"422",2,55,1,2,2,1,1,1,3.49
"423",1,60,5,4,2,3,2,2,0.91
"424",2,61,1,2,2,2,1,1,1.61
"425",2,54,4,2,1,4,1,1,3.22
"426",2,46,6,2,2,1,3,2,0.08
"427",2,43,3,1,2,2,3,2,4.75
"428",2,34,4,2,2,2,3,2,3.41
"429",2,25,5,1,2,3,3,3,5.14
"430",2,48,6,3,2,3,2,2,1.59
"431",2,41,6,2,1,2,1,2,2.61
"432",1,66,6,1,2,3,2,3,5.06
"433",1,46,4,3,2,3,3,2,0.97
"434",2,57,5,2,2,2,3,1,3.43
"435",2,37,5,2,2,2,1,2,1.88
"436",1,38,3,3,2,1,2,2,4.17
"437",1,63,3,3,2,1,2,2,1.68
"438",1,26,7,1,2,3,2,1,3.2
"439",2,32,4,2,2,4,3,3,3.8
"440",1,19,6,3,1,3,1,1,3.85
"441",1,55,6,3,2,2,3,1,3.78
"442",1,66,7,1,2,1,1,3,1.88
"443",2,36,7,1,1,1,3,3,0.08
"444",2,47,5,4,2,2,3,2,5.25
"445",2,40,3,2,2,2,3,1,3.69
"446",2,51,7,2,2,2,1,3,5.38
"447",1,49,2,4,2,4,3,2,6.53
"448",2,34,3,2,2,4,3,2,1.95
"449",2,39,3,4,2,2,2,1,2.25
"450",1,50,1,2,2,3,2,1,5.62
"451",1,60,2,4,2,3,1,3,0.08
"452",2,49,6,3,2,2,3,1,0.15
"453",2,48,2,1,2,3,1,1,2.25
"454",1,73,6,2,1,4,1,1,0.08
"455",2,45,5,2,2,1,3,2,5.07
"456",2,34,7,4,2,3,3,1,2.82
"457",2,40,5,3,2,4,3,2,2.08
"458",1,18,4,3,1,2,1,2,5.53
"459",2,39,4,3,2,4,3,1,4.42
"460",1,60,7,2,2,1,2,2,5.71
"461",1,52,9,1,2,2,3,2,2.5
"462",1,58,5,2,2,3,3,1,2.87
"463",2,49,3,1,2,2,2,1,4.49
"464",1,25,4,4,2,2,1,3,1.21
"465",1,37,2,3,2,3,3,2,3.82
"466",1,35,7,1,2,3,2,1,2.99
"467",2,38,9,1,1,1,3,2,3.5
"468",2,37,0,3,2,3,2,2,4.67
"469",2,18,7,2,1,4,1,2,2.05
"470",1,49,7,2,2,3,3,2,1.55
"471",1,18,3,1,2,1,3,2,2.97
"472",1,45,3,3,1,1,2,3,2.79
"473",1,40,6,2,2,1,2,2,4.19
"474",1,66,3,3,2,3,3,2,3.43
"475",1,43,4,2,2,2,2,2,5.57
"476",1,36,2,1,2,3,1,2,2.43
"477",2,39,4,4,2,4,1,2,3.9
"478",1,68,0,4,2,4,3,2,3.86
"479",1,41,6,3,2,2,1,1,2.33
"480",2,58,4,3,2,2,1,2,3.72
"481",1,49,5,2,1,2,3,2,3.78
"482",1,28,4,1,2,2,2,2,5.41
"483",1,79,3,2,2,3,1,2,4.34
"484",1,54,2,2,2,1,2,2,3.36
"485",2,29,3,1,1,2,3,3,2.14
"486",1,27,3,4,2,3,3,1,3.24
"487",1,18,3,1,2,3,2,1,2.73
"488",1,55,8,3,2,3,3,2,1.23
"489",1,42,6,2,2,3,3,2,0.53
"490",1,43,9,3,2,2,3,1,3.6
"491",1,58,7,1,2,2,3,2,1.74
"492",1,46,6,3,2,2,3,1,2.77
"493",2,53,0,1,2,3,3,3,2.65
"494",2,48,8,3,2,2,3,2,3.39
"495",2,42,5,2,2,3,2,2,4.65
"496",2,36,6,3,2,3,3,1,2.72
"497",2,47,3,1,2,1,3,2,1.49
"498",1,44,2,1,2,2,3,3,1.58
"499",1,34,9,1,2,2,3,2,1.96
"500",1,38,6,3,2,3,3,2,3.68
"501",1,50,5,3,1,3,2,3,0.67
"502",2,31,0,3,2,2,3,2,4
"503",1,37,4,2,2,2,3,3,3
"504",1,56,3,2,2,3,1,2,3.64
"505",1,36,8,3,2,2,2,3,4.41
"506",2,52,1,3,2,4,3,2,1.44
"507",1,39,5,1,2,2,1,1,3.59
"508",2,57,3,2,2,2,2,3,3.45
"509",1,44,7,1,2,3,3,2,0.98
"510",2,18,4,4,2,3,2,2,2.15
"511",2,70,0,2,2,1,2,3,2.54
"512",1,39,2,4,2,2,3,2,2.43
"513",2,50,7,1,1,3,3,2,3.28
"514",2,20,6,1,1,2,3,2,4.35
"515",2,40,7,2,2,2,3,1,6.75
"516",1,31,6,4,2,2,2,2,1.32
"517",1,29,9,3,2,2,3,2,1.97
"518",1,30,5,2,2,2,3,1,0.9
"519",2,61,4,3,2,3,1,2,1.75
"520",1,57,10,4,2,2,3,3,5.12
"521",1,18,1,2,2,1,3,1,4.43
"522",2,54,3,2,2,2,1,2,2.81
"523",2,38,8,3,2,2,2,2,3.46
"524",1,18,6,2,2,2,3,2,4.59
"525",2,22,8,1,2,1,1,1,4.15
"526",1,40,6,4,2,2,3,3,2.31
"527",2,38,3,1,2,4,1,2,4.49
"528",2,36,1,4,2,3,1,3,0.46
"529",1,64,7,4,2,4,3,3,2.69
"530",2,26,9,3,1,2,3,3,0.62
"531",1,43,5,1,1,2,3,1,4.56
"532",2,52,3,3,1,2,3,1,1.6
"533",1,55,6,1,1,3,1,1,1.3
"534",1,30,6,2,2,3,3,1,2.74
"535",1,43,0,4,1,3,3,3,1.95
"536",1,57,6,4,2,3,3,2,2.05
"537",1,25,6,3,1,3,3,1,3.09
"538",1,42,7,1,2,2,1,2,3.37
"539",2,53,10,3,1,3,3,1,1.26
"540",2,22,7,4,1,1,3,3,4.15
"541",1,58,8,3,2,2,1,2,0.56
"542",1,41,6,2,1,2,3,2,2.47
"543",1,66,1,4,1,1,3,2,1.54
"544",2,60,0,2,1,3,3,2,3.38
"545",1,40,8,1,2,1,3,1,2.71
"546",2,45,2,3,2,2,3,2,1.54
"547",2,18,2,2,1,1,3,1,4.09
"548",1,57,5,2,1,1,3,2,4.22
"549",1,34,4,4,2,2,1,2,3.11
"550",2,62,2,4,2,2,3,1,2.95
"551",2,25,5,3,2,1,3,2,4.27
"552",1,24,10,1,1,2,3,2,3.17
"553",1,42,7,1,2,2,3,2,5.61
"554",2,48,2,1,2,4,1,3,0.08
"555",1,67,7,1,2,2,2,3,3.37
"556",1,18,5,2,2,4,3,2,3.64
"557",1,68,0,2,2,2,1,3,2.87
"558",1,36,2,3,2,1,2,1,2.83
"559",1,18,5,2,1,3,1,2,2.26
"560",2,67,5,3,2,4,2,2,1.94
"561",2,34,6,1,1,1,3,2,2.3
"562",2,62,5,1,2,3,3,1,3.7
"563",2,30,5,1,2,3,3,1,3.97
"564",2,44,5,3,2,4,3,2,3.58
"565",1,52,5,1,2,2,3,3,6.24
"566",1,25,6,1,2,3,1,1,4.4
"567",2,36,5,3,2,3,3,2,4.12
"568",2,49,7,4,2,3,2,1,2.32
"569",1,18,2,1,2,4,3,2,2.61
"570",1,41,4,1,2,2,1,1,3.3
"571",1,50,3,3,2,1,3,2,1.26
"572",1,35,0,1,1,3,3,1,2.49
"573",1,34,5,1,1,2,3,3,3.96
"574",1,67,5,4,2,2,3,2,3.87
"575",1,44,5,2,2,4,3,2,1.81
"576",1,27,5,4,1,3,3,3,4.96
"577",1,27,4,2,2,2,3,2,2.3
"578",1,33,5,2,1,2,1,3,1.13
"579",2,40,6,1,2,2,2,3,3.02
"580",1,56,6,4,1,2,1,1,4.98
"581",1,38,10,3,2,1,2,1,2.92
"582",2,25,7,2,1,2,1,2,4.71
"583",1,22,0,1,2,2,3,1,1.05
"584",1,56,0,1,2,2,1,1,1.53
"585",1,37,5,1,2,4,2,3,3.38
"586",2,42,6,4,2,2,3,1,3.74
"587",2,47,3,1,2,4,1,2,2.36
"588",1,34,5,1,1,3,1,2,2.77
"589",2,37,5,1,2,4,2,2,4.74
"590",2,25,7,4,2,1,3,2,1.17
"591",1,40,8,2,1,2,1,2,5.13
"592",1,20,8,1,1,2,2,2,3.78
"593",1,54,8,4,2,2,2,1,1.78
"594",1,25,4,3,2,3,2,2,1.69
"595",1,43,4,2,1,3,3,2,2.75
"596",1,55,10,1,2,3,3,2,4.3
"597",1,57,1,1,2,2,3,3,3.45
"598",2,44,8,3,2,2,3,2,3.26
"599",1,39,4,3,2,2,3,2,2.96
"600",1,42,3,2,2,2,3,2,4.97
"601",1,35,11,3,2,1,3,3,1.79
"602",2,47,6,4,2,3,1,1,3.83
"603",2,60,3,3,2,2,2,2,3.01
"604",1,68,6,1,1,1,2,1,6.31
"605",2,62,2,2,1,2,3,2,3.28
