;Gender;DriverAge;CarAge;Area;Leasing;Power;Fract;Contract;Exposure;Nbclaims
133;1;65;6;2;1;2;1;2;5.99;0
134;2;33;8;4;2;2;1;3;4.17;0
135;1;78;7;2;2;1;1;3;1.34;0
136;2;20;4;1;2;2;3;1;2.2;0
137;1;67;6;2;2;2;3;2;2.55;0
138;2;32;10;1;2;3;2;3;1.07;0
139;1;61;8;1;2;1;3;3;3.6;0
140;1;45;4;3;2;2;2;1;6.47;0
141;1;47;8;4;2;3;2;3;4.99;0
142;1;36;5;4;2;2;3;2;4.46;0
143;1;41;5;3;1;4;3;3;5.52;0
144;1;51;7;3;2;1;3;2;2.98;0
145;1;28;8;3;1;3;3;1;4.28;0
146;1;66;3;1;2;2;1;1;4.22;0
147;2;20;4;2;2;2;1;1;4.28;0
148;1;61;6;3;2;3;3;2;3.22;0
149;2;18;2;1;1;2;2;1;3.4;0
150;1;52;6;1;2;2;2;3;3.7;0
151;2;22;11;3;2;2;3;3;3.3;0
152;1;42;1;3;2;3;2;2;4.32;0
153;1;31;4;1;2;3;3;2;4.74;0
154;1;48;4;1;1;2;3;3;4.79;0
155;1;45;10;1;1;2;3;1;0.65;0
156;1;51;7;1;2;4;1;2;5.64;0
157;1;57;9;4;2;4;3;3;6.73;0
158;1;41;5;3;2;3;3;2;4.24;0
159;1;64;5;2;2;4;3;1;3.56;0
160;2;56;4;3;2;1;3;2;1.84;1
161;1;20;9;1;2;2;3;3;6.07;0
162;2;47;4;1;2;3;3;3;3.97;0
163;2;37;4;1;2;2;1;3;4.4;0
164;2;42;8;2;2;3;2;2;2.92;0
165;2;62;5;1;2;4;2;1;3.62;0
166;1;34;2;1;1;2;3;2;4.01;0
167;2;69;9;3;1;2;1;1;2.59;0
168;1;54;6;4;2;2;3;2;2.42;0
169;2;19;11;1;2;2;3;2;2.87;0
170;2;58;6;2;2;1;3;3;4.83;0
171;2;46;6;2;1;1;3;2;0.16;0
172;1;36;9;1;1;2;1;3;4.91;0
173;2;18;3;2;2;2;3;3;2.17;0
174;1;48;6;1;1;3;3;3;3.28;0
175;1;49;2;1;1;3;3;2;3.57;0
176;1;45;6;1;2;2;3;2;4.06;0
177;1;70;4;1;1;3;3;2;2.15;0
178;1;43;5;2;1;2;3;1;1.38;0
179;2;46;11;2;1;2;3;3;3.45;1
180;1;21;5;3;2;3;3;1;4.93;0
181;1;26;4;2;2;1;2;2;3.94;0
182;2;30;7;3;2;3;1;3;3.43;0
183;1;35;3;1;2;3;2;1;5.26;0
184;1;82;5;1;1;4;3;2;4.42;0
185;1;19;5;1;2;2;1;1;3.92;0
186;1;52;10;3;2;3;3;1;1.94;0
187;1;35;7;1;1;2;3;2;4.46;0
188;2;37;7;4;2;1;1;3;6.14;1
189;1;18;0;2;2;2;2;2;4.9;0
190;1;58;1;2;2;3;3;2;3.64;0
191;1;52;3;1;2;2;3;3;3.16;0
192;1;45;6;1;2;2;2;2;4.65;0
193;1;43;1;2;2;3;2;2;2.38;0
194;1;28;3;1;1;4;3;3;3.4;0
195;1;18;6;1;2;3;1;1;3.69;0
196;1;18;8;3;2;3;1;1;2.59;0
197;1;34;4;1;2;2;2;2;2.22;0
198;2;22;2;2;2;2;2;1;2.53;0
199;2;68;2;2;2;1;2;2;2.02;0
200;2;37;6;3;2;2;1;2;3.56;1
201;2;41;2;2;2;2;1;1;2.53;0
202;1;68;7;2;2;3;2;3;1.35;0
203;1;71;6;1;2;2;2;2;5.01;0
204;1;62;4;1;1;3;1;1;1.93;0
205;1;33;6;2;2;2;1;2;2.88;0
206;2;25;2;4;2;3;1;1;0.08;0
207;1;42;1;2;2;3;3;1;5.16;0
208;1;42;4;4;2;3;2;2;4.12;0
209;1;40;1;3;2;2;3;2;2.03;0
210;1;48;3;1;2;2;1;3;2.23;0
211;1;48;8;2;1;4;3;1;3.67;0
212;1;23;6;2;2;4;1;2;3.71;1
213;1;20;3;1;2;2;3;2;0.08;0
214;1;40;2;1;2;3;3;2;4.05;0
215;2;48;5;2;2;3;3;3;6.38;0
216;1;35;6;2;2;3;3;3;2.89;0
217;1;47;4;4;2;3;3;2;2.67;0
218;1;18;9;1;1;1;3;1;2.12;0
219;1;42;2;3;2;2;2;3;2.7;0
220;2;19;5;3;1;3;2;1;3.17;0
221;1;32;6;3;2;1;2;2;2.91;0
222;2;70;4;2;2;2;1;2;1.72;0
223;2;54;9;3;2;1;3;3;3.2;0
224;1;82;7;1;2;2;3;1;3.24;0
225;1;52;0;1;2;2;1;2;4.92;0
226;1;36;8;4;1;2;3;3;3.26;0
227;2;49;4;2;1;2;3;3;2.9;0
228;1;54;0;1;2;2;1;1;1.75;0
229;1;40;6;2;2;1;3;1;4.62;0
230;2;40;5;2;2;1;1;3;2.92;0
231;1;40;0;2;2;3;3;3;0.08;0
232;1;20;3;2;1;3;3;2;5.75;0
233;1;36;7;3;2;4;3;2;3.95;0
234;2;37;7;2;1;4;2;3;0.08;0
235;2;61;6;3;1;2;3;2;3.96;0
236;1;18;4;1;1;1;3;2;2.82;0
237;1;25;7;2;1;1;3;2;4.7;0
238;1;62;5;4;2;3;3;1;2.5;0
239;1;43;6;2;2;1;3;2;0.93;0
240;1;18;5;1;2;3;3;1;3.16;0
241;2;58;4;1;2;3;3;2;3.5;0
242;1;24;4;2;2;2;1;2;4.39;0
243;1;31;2;1;2;2;3;1;1.47;0
244;1;50;6;2;2;1;1;2;3.46;0
245;1;39;3;3;2;2;3;1;4.18;0
246;1;39;2;1;2;2;3;1;4.81;0
247;2;35;7;2;2;1;3;1;4.13;0
248;1;40;3;2;2;1;3;3;2.19;0
249;1;82;6;3;1;3;3;2;0.08;0
250;2;30;5;3;2;4;3;1;1.82;0
251;2;41;3;2;2;2;3;2;5.01;0
252;2;18;1;4;2;3;3;1;3.91;0
253;2;28;4;4;1;4;3;2;3.61;0
254;1;57;7;2;2;1;2;3;2.87;0
255;1;60;1;4;2;3;2;2;1.48;0
256;1;38;3;4;2;3;1;3;4.18;0
257;1;61;3;1;2;2;3;1;3.02;0
258;2;35;4;4;1;3;3;3;4.5;0
259;1;55;5;4;1;2;1;2;1.3;0
260;2;27;8;4;2;2;2;1;4.9;0
261;1;49;2;2;1;3;3;1;2.37;0
262;2;55;0;1;2;3;3;2;2.38;0
263;2;46;8;2;2;3;1;1;4.59;0
264;2;41;0;4;2;2;3;3;3.39;0
265;1;18;9;1;2;2;3;3;3.88;0
266;2;38;9;4;2;2;3;2;1.46;0
267;1;72;7;2;2;1;3;1;3.42;0
268;2;53;10;2;2;2;1;2;3.66;0
269;1;27;7;1;2;3;3;2;2.2;0
270;1;35;6;1;1;4;3;1;1.86;0
271;1;60;0;3;2;2;3;3;5.44;0
272;2;18;9;1;2;2;3;3;3.45;0
273;2;39;3;2;2;4;1;2;1.61;0
274;1;71;5;1;2;1;3;2;1.6;0
275;2;19;9;4;1;2;3;2;2.9;0
276;1;48;5;2;2;2;3;1;0.13;0
277;1;18;8;2;1;3;1;2;2.56;0
278;2;55;11;3;2;2;3;1;2.02;0
279;2;74;5;3;2;3;1;1;3.71;0
280;1;18;7;1;2;1;3;2;1.03;0
281;1;46;8;3;2;3;1;3;2;0
282;1;65;9;3;1;1;3;2;3.46;0
283;2;58;5;3;2;2;1;3;3.33;0
284;1;26;3;2;2;3;2;2;0.11;0
285;2;44;1;1;2;1;3;2;3.44;0
286;2;50;8;1;2;2;1;2;6.22;0
287;2;49;9;1;2;3;1;1;7;1
288;2;34;6;4;1;3;2;1;2.69;1
289;1;46;6;1;1;2;3;3;3.06;0
290;2;51;7;2;2;3;3;1;0.87;0
291;1;31;11;4;1;4;1;1;2.61;0
292;2;31;0;1;2;3;2;2;3.33;0
293;2;64;8;1;1;2;3;1;2.43;0
294;1;18;3;1;2;3;1;2;3.28;0
295;1;39;4;1;2;3;3;2;1.74;0
296;1;18;7;2;2;2;3;2;1.24;0
297;1;53;4;3;2;1;3;1;4.94;0
298;1;50;7;4;2;3;1;2;3.44;0
299;1;41;6;1;2;4;3;3;3.94;0
300;1;57;0;2;1;2;2;3;0.86;0
301;1;55;9;4;2;2;1;2;4.39;0
302;1;54;5;1;2;3;3;1;4.06;0
303;2;30;3;2;1;2;3;2;2.52;0
304;1;62;6;4;1;3;2;2;3.17;1
305;1;40;2;2;1;4;3;2;4.55;0
306;2;48;5;3;2;2;2;2;3.53;0
307;1;55;5;1;2;2;2;2;2.24;0
308;2;39;5;1;2;3;3;1;2.34;0
309;2;70;5;3;1;1;2;2;5.2;0
310;1;41;4;1;1;4;2;2;2.17;0
311;1;21;6;1;1;3;2;1;3.41;0
312;2;38;5;1;1;2;3;2;1.5;0
313;2;51;4;1;1;2;3;1;3.82;0
314;2;25;7;1;2;3;3;1;5.09;0
315;2;18;11;1;1;4;3;3;4.09;0
316;1;43;1;2;2;1;3;2;4.28;0
317;1;38;6;3;1;2;3;2;5.33;0
318;1;29;7;4;2;2;3;2;1.96;0
319;1;40;9;4;1;2;3;3;4.22;0
320;2;82;3;1;2;1;2;3;1.72;0
321;2;60;1;2;2;2;1;2;2.93;0
322;1;62;3;4;2;1;2;2;2.55;0
323;2;33;2;4;2;1;1;2;1.49;0
324;1;39;6;1;1;3;2;2;4.94;0
325;2;52;5;3;2;1;1;2;4.8;0
326;1;52;5;3;1;4;3;1;1.99;0
327;1;39;8;4;2;3;3;2;3.88;0
328;2;34;4;1;2;2;1;2;2.13;0
329;1;28;4;4;2;1;3;3;1.57;0
330;2;30;7;1;2;2;2;2;3.73;0
331;1;65;3;2;1;2;2;2;3.11;0
332;2;40;6;3;2;2;2;2;3.11;0
333;2;41;8;4;1;3;3;2;4.66;0
334;1;33;7;2;1;3;3;3;4.66;0
335;2;41;4;2;2;2;3;2;3.73;0
336;1;52;7;2;1;1;3;3;1.72;0
337;2;18;8;4;2;2;3;2;3.88;0
338;2;39;4;1;1;3;2;2;4.51;0
339;2;25;4;2;2;1;3;1;4.83;0
340;2;52;2;3;2;2;1;2;5.46;0
341;1;70;10;3;1;3;3;1;5.27;0
342;1;67;3;1;2;3;2;3;4.25;0
343;1;35;7;3;2;3;3;3;5.34;0
344;1;40;0;1;2;2;1;3;2.93;0
345;2;56;5;4;2;2;1;1;5.18;0
346;1;37;9;1;2;2;3;2;0.74;0
347;1;42;5;3;2;3;2;1;3.15;0
348;2;18;0;2;1;3;2;2;1.9;0
349;1;20;5;1;2;3;3;2;3.26;0
350;1;28;8;1;2;2;3;3;2.72;0
351;2;45;2;1;2;2;3;3;2.54;0
352;1;49;6;3;2;3;1;2;2.39;0
353;1;31;2;4;1;1;3;1;1.43;0
354;2;37;6;3;2;3;2;2;0.79;0
355;1;39;0;3;2;3;3;2;3.37;0
356;1;59;2;4;2;3;2;2;2.31;0
357;1;31;4;4;2;2;3;3;2.9;0
358;2;29;9;1;1;1;3;1;4.07;0
359;1;45;2;2;2;2;3;1;2.22;0
360;1;57;5;2;1;2;3;2;4.02;0
361;1;51;7;4;1;3;3;2;3.76;0
362;1;21;7;1;2;3;1;2;1.76;0
363;1;41;8;3;2;3;2;3;3.13;0
364;1;53;2;4;2;2;2;1;1.27;0
365;1;18;2;1;1;4;1;2;5.82;0
366;2;18;4;3;2;2;2;2;2.71;0
367;1;60;5;1;2;3;3;2;1.95;0
368;1;75;3;3;2;3;3;2;1.44;0
369;1;50;5;2;2;1;2;3;4.19;0
370;1;30;6;1;1;3;3;2;2.32;0
371;1;48;1;1;1;2;2;2;4.19;0
372;2;35;7;1;1;2;3;1;3.26;0
373;1;36;2;4;2;3;3;1;3.59;0
374;1;53;7;2;1;3;3;1;2.84;0
375;2;42;5;2;2;3;1;1;3.86;0
376;1;48;5;1;2;2;3;1;5.33;0
377;1;38;1;2;2;3;3;3;1.68;0
378;2;43;5;4;1;2;3;3;3.87;1
379;1;50;10;2;2;1;2;2;3.24;0
380;2;27;5;1;2;2;3;1;2.06;0
381;2;18;9;2;1;3;3;3;6.39;0
382;2;57;7;1;2;2;1;1;2.6;0
383;1;32;7;4;2;1;3;3;5.39;0
384;2;39;3;2;2;3;1;2;2.9;0
385;1;35;0;1;2;4;3;1;4.06;0
386;1;57;4;1;2;2;3;2;0.08;0
387;2;28;5;3;2;3;2;1;2.92;0
388;1;57;6;3;1;2;3;2;4.34;0
389;2;80;6;1;1;2;3;3;4.81;0
390;1;51;7;3;1;3;3;3;4.92;0
391;1;48;3;3;2;3;3;2;1.64;0
392;2;33;4;3;2;2;2;3;2.46;0
393;1;52;6;3;2;3;3;1;5.75;0
394;2;38;7;2;2;4;3;3;0.69;0
395;1;51;0;1;2;4;1;2;1.04;0
396;1;38;7;1;2;1;2;2;2.44;0
397;1;61;5;3;2;2;3;2;3.32;1
398;1;48;6;1;2;3;2;2;0.28;0
399;2;52;5;1;1;3;3;1;2.43;0
400;1;55;4;2;2;2;3;1;2.55;0
401;1;29;6;1;2;3;1;1;1.95;0
402;2;42;3;1;2;3;3;1;3.79;1
403;2;55;7;2;2;4;2;3;5.12;0
404;1;37;11;2;2;3;1;1;5.41;0
405;1;25;3;2;1;2;3;1;3.43;0
406;1;71;7;3;2;3;1;1;4.42;0
407;1;67;4;2;1;3;3;2;3.68;0
408;2;42;5;2;2;4;2;2;4.14;0
409;1;26;3;2;2;2;3;1;1.86;0
410;1;58;2;2;2;2;1;2;0.98;0
411;1;60;2;4;2;3;1;1;3.56;1
412;1;55;5;3;2;3;3;2;5.69;0
413;2;72;2;4;2;1;1;1;2.75;0
414;1;44;0;4;1;2;3;1;2.58;0
415;1;25;8;2;1;3;3;1;2.12;0
416;1;57;7;2;2;1;3;2;1.76;0
417;1;40;9;1;1;2;1;1;0.49;0
418;1;43;6;3;2;2;3;3;2.27;0
419;2;21;7;3;1;2;1;3;4.04;0
420;1;18;2;1;2;3;3;2;0.23;0
421;2;50;9;4;1;2;3;1;1.43;0
422;2;51;8;4;2;3;3;1;1.17;0
423;1;39;1;4;2;3;1;2;1.87;0
424;2;18;8;3;2;2;1;1;5.32;0
425;2;34;4;3;2;3;3;1;1.58;0
426;1;29;1;2;1;3;3;2;0.9;0
427;1;55;7;4;2;2;2;2;5.08;0
428;1;46;4;3;2;2;1;3;3.01;0
429;2;37;8;3;1;2;2;1;3.86;0
430;1;70;9;2;2;1;3;2;3.1;0
431;2;47;4;2;2;2;2;3;3.91;0
432;1;43;5;3;1;3;3;2;2.23;0
433;2;65;3;3;1;3;3;2;4.85;0
434;1;48;5;1;2;4;1;3;3.18;0
435;1;34;6;1;2;1;3;2;0.71;0
436;1;74;5;2;2;4;2;1;3.14;0
437;1;45;6;3;2;3;2;3;2.41;0
438;1;42;6;1;2;2;3;2;2.54;0
439;1;39;2;2;2;1;2;2;2.27;0
440;1;36;6;2;1;3;3;2;0.08;0
441;2;49;9;3;2;3;3;2;0.66;0
442;1;77;3;4;2;1;1;1;4.19;0
443;2;33;2;2;1;1;3;2;2.78;0
444;1;44;5;1;2;2;2;2;5.89;0
445;1;50;3;3;1;3;1;2;3.16;0
446;1;18;7;1;1;1;1;1;1.43;0
447;2;59;6;3;2;2;2;1;2.45;0
448;2;40;4;1;1;4;3;2;1.26;0
449;1;32;4;2;2;3;3;1;2.04;0
450;1;63;4;3;2;3;3;3;2.83;0
451;1;35;2;3;2;2;1;2;1.39;0
452;1;48;7;1;2;3;2;1;4.73;0
453;2;37;9;1;2;2;1;3;2.04;0
454;2;31;7;3;1;3;3;1;2.64;0
455;1;55;1;4;2;3;3;2;4.7;0
456;2;54;9;2;2;1;3;2;4.52;0
457;1;43;7;1;2;1;3;1;3.06;0
458;1;53;8;4;2;2;3;3;2.56;0
459;1;55;5;4;2;3;2;2;3.38;0
460;1;63;6;1;2;4;3;3;5.51;0
461;2;47;1;3;2;4;3;2;2.33;0
462;1;18;2;4;1;3;1;2;3.8;0
463;2;23;0;1;1;2;3;3;1.82;0
464;2;47;9;3;2;1;2;1;4.21;0
465;2;38;3;1;1;2;3;2;1.44;0
466;2;54;6;1;2;2;2;2;1.13;0
467;1;49;5;3;2;2;1;2;0.55;0
468;1;50;9;4;2;2;2;2;3.87;0
469;1;76;11;1;2;1;2;3;3.96;0
470;1;54;8;2;2;2;1;1;5.17;0
471;2;47;3;2;2;2;1;3;3.4;0
472;1;30;3;4;2;2;1;1;4.91;0
473;2;33;4;1;1;1;2;2;4.08;0
474;2;31;5;1;2;3;3;2;1.55;0
475;1;22;3;2;1;1;3;1;3.75;1
476;1;35;7;2;2;1;2;2;2.8;0
477;1;22;2;1;2;3;3;3;0.08;0
478;1;63;10;3;1;1;3;2;2.59;0
479;2;37;5;3;2;1;1;1;5.89;0
480;2;46;7;2;2;3;1;3;3.3;0
481;1;50;2;2;2;4;1;2;1.55;0
482;1;33;4;4;2;3;1;2;1.69;0
483;1;33;3;4;1;4;3;1;2.8;0
484;1;31;4;3;1;4;3;2;1.17;0
485;1;38;3;1;1;4;1;1;2.75;0
486;2;53;3;2;2;2;3;2;2.24;0
487;1;43;2;3;1;2;3;3;6.55;0
488;2;47;4;4;2;1;2;2;1.9;0
489;1;18;9;4;2;2;3;1;2.47;0
490;1;68;7;1;2;2;2;2;5.59;0
491;2;44;5;2;1;3;3;1;3.95;0
492;1;67;6;1;2;3;1;3;1.53;0
493;1;49;6;4;1;2;3;2;2.45;0
494;1;36;10;2;2;2;3;1;2.54;0
495;2;55;5;3;1;3;2;3;1.55;0
496;1;76;1;3;1;1;3;2;2.51;0
497;1;53;2;2;2;3;2;2;0.98;0
498;1;59;2;3;2;3;3;1;2.15;0
499;1;47;3;1;2;2;2;3;4.08;0
500;2;51;8;1;2;1;1;2;2.85;0
501;1;44;4;4;2;4;3;1;2.52;0
502;1;54;1;2;2;2;1;3;2.7;0
503;1;62;9;4;1;1;3;1;4.6;1
504;1;36;6;1;2;3;3;2;5.03;0
505;2;82;6;4;2;2;3;2;3.49;0
506;2;21;10;3;2;2;1;1;1.43;0
507;2;29;5;2;2;2;2;3;5.86;1
508;1;53;2;3;2;2;3;2;4.37;0
509;2;48;6;1;2;2;1;2;4.71;0
510;1;55;8;1;2;2;1;1;2.95;0
511;2;49;4;1;2;2;3;1;3.68;0
512;1;23;4;3;2;2;3;1;4.64;0
513;2;31;9;2;1;3;3;1;1.03;0
514;1;26;1;2;1;3;1;3;3.49;0
515;1;62;4;2;1;1;3;3;4.93;0
516;1;58;6;1;2;3;2;3;5.27;0
517;1;60;7;4;2;2;3;2;5.23;0
518;2;40;2;1;1;3;3;2;0.81;0
519;1;52;8;2;2;1;2;1;1.71;0
520;1;37;8;1;2;1;3;1;3.1;0
521;1;34;7;4;1;3;3;2;1.81;0
522;1;49;1;1;2;3;2;2;2.98;0
523;1;50;12;3;2;4;3;2;3.91;0
524;1;55;8;3;2;1;1;2;1.2;0
525;2;49;5;1;2;4;2;2;0.37;0
526;1;51;8;1;2;2;3;1;2.95;0
527;1;36;4;3;2;2;1;3;2.94;0
528;1;33;10;2;2;1;3;3;4.21;0
529;2;52;5;4;2;2;3;1;1.9;0
530;2;40;3;3;1;4;3;3;1.21;0
531;1;60;3;1;2;1;3;2;4.41;0
532;1;31;6;1;2;3;3;3;3.65;0
533;1;58;3;3;2;2;1;3;2.04;0
534;1;51;7;3;2;3;3;2;4.05;0
535;1;33;6;2;1;2;3;2;0.49;0
536;1;31;10;4;2;3;3;2;1.71;0
537;1;62;4;3;2;1;2;1;3.93;0
538;1;21;9;2;2;2;3;2;4.56;0
539;2;31;3;2;2;2;1;2;3.52;0
540;1;46;6;1;2;2;3;1;3.37;0
541;2;54;3;4;2;2;3;2;1.36;0
542;2;40;0;1;2;2;2;1;4.55;0
543;2;47;0;1;2;1;2;1;0.7;0
544;2;18;5;1;2;2;3;2;1.64;0
545;1;45;8;3;2;1;3;1;0.61;0
546;2;22;6;2;1;2;3;2;1.16;0
547;2;57;4;1;2;2;2;2;5.42;0
548;1;60;1;3;2;2;3;2;3.98;0
549;1;42;2;3;2;3;1;1;4.34;0
550;1;27;0;2;2;3;3;2;4.85;0
551;2;48;7;2;2;2;3;2;2.42;0
552;2;30;6;1;2;3;3;2;2.97;0
553;1;48;6;3;1;3;2;2;3.38;0
554;1;18;7;2;2;2;3;2;3.04;0
555;2;54;4;4;2;1;3;1;2.74;0
556;2;21;5;1;2;1;3;2;3.5;0
557;1;27;3;2;1;2;1;3;1.99;0
558;1;39;4;1;2;1;1;2;1.27;0
559;1;34;3;4;2;3;2;1;5.43;0
560;1;34;2;4;2;3;3;3;4.15;0
561;2;59;4;1;2;2;1;3;1.5;0
562;2;34;4;2;2;3;1;2;1.67;0
563;1;48;2;4;2;1;3;2;3.07;0
564;1;37;8;3;2;2;2;2;1.47;0
565;2;39;7;3;1;2;3;3;1.86;0
566;1;46;5;4;1;3;2;2;3.23;0
567;2;48;4;1;2;2;2;3;4.69;0
568;1;32;4;4;2;2;2;3;3.36;0
569;1;58;5;1;2;3;3;1;0.08;0
570;2;18;6;2;2;1;2;2;2.99;0
571;1;25;0;3;2;1;3;1;3.03;0
572;2;34;4;3;2;2;3;2;1.93;1
573;1;78;5;1;2;2;3;2;0.37;0
574;2;40;4;2;1;1;3;2;5.1;0
575;1;64;8;4;2;2;1;2;4.28;0
576;1;71;2;1;2;3;3;2;4.16;0
577;1;18;4;1;1;4;3;2;3.52;0
578;2;55;3;1;2;2;3;2;5.79;0
579;1;48;1;3;2;1;1;1;4.89;0
